rooms,age,bath,neighborhood,aparment_floor,view,bedrooms,expenses,floor,nbr_floors,covered area,total_area,type,address,price
1.0,40 años,1.0,Caballito - Capital Federal,,Frente,,1500.0,,,22.0,25.0,,"Yerbal 900, 2 E",8500
1.0,1 años,1.0,Villa Del Parque - Capital Federal,1.0,Frente,,4655.0,6.0,6.0,30.0,456.0,Departamento,Nogoya 3815,10500
1.0,0 años,1.0,Núñez - Capital Federal,,Contrafrente,,3222.0,,,32.0,35.0,Departamento,Av.del Libertador Al 6800,11800
1.0,0 años,1.0,Villa Luro - Capital Federal,,Frente,,,,,28.0,28.0,Departamento,Manzoni Al 100,8500
3.0,2 años,1.0,Santa Rita - Capital Federal,,Frente,,3400.0,,,60.0,62.0,,Camarones  Entre Nazca  Y Argerich,18000
1.0,6 años,1.0,Barracas - Capital Federal,,Contrafrente,,2000.0,,,45.0,48.0,Monoambiente,Brandsen 1700,12000
1.0,25 años,1.0,Belgrano - Capital Federal,3.0,Frente,,3500.0,,9.0,28.0,31.0,Departamento,Cespedes Al 2400,9500
1.0,40 años,1.0,Belgrano - Capital Federal,,Contrafrente,,2000.0,,15.0,,,,Av. Cabildo Al 2000,11000
1.0,6 años,1.0,Belgrano - Capital Federal,,Contrafrente,,3400.0,,1.0,44.0,48.0,,Roosevelt Al 1500,14000
1.0,65 años,1.0,Retiro - Capital Federal,,Interno,,2500.0,,,29.0,29.0,Departamento,Marcelo T De Alvear Al 400,9000
2.0,40 años,1.0,Flores - Capital Federal,,Lateral,,,,,,38.0,,Franklin Al 2000,9800
1.0,0 años,1.0,Palermo Hollywood - Capital Federal,,,,7000.0,,,39.0,45.0,,Amenabar 50,1000
2.0,0 años,1.0,Las Cañitas - Capital Federal,2.0,Frente,,3400.0,,9.0,44.0,48.0,Departamento,Republica De Eslovenia Al 1800,20000
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,53.0,61.0,,Santa Fe 2882 10 07,35000
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,74.0,97.0,,Santa Fe 2882 1011,1800
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,53.0,61.0,,Santa Fe 2882 9 07,35000
1.0,2 años,1.0,Monte Castro - Capital Federal,,Lateral,,1900.0,,1.0,29.0,29.0,,Calderon De La Barca Al 1300,8300
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,62.0,124.0,,Santa Fe 2882 12 10,1500
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,49.0,72.0,,Santa Fe 2882 1012,38000
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,54.0,69.0,,Santa Fe 2882 13 11,1100
1.0,0 años,1.0,Recoleta - Capital Federal,,Frente,,,,13.0,49.0,72.0,,Santa Fe 2882 1012,1000
1.0,5 años,1.0,Palermo Soho - Capital Federal,,Frente,,4900.0,,1.0,,38.0,,Godoy Cruz Al 2300,12900
1.0,0 años,1.0,Congreso - Capital Federal,,,,,,,39.0,39.0,Departamento,Bartolome Mitre  Al 2000,15000
,10 años,1.0,Velez Sarsfield - Capital Federal,,Contrafrente,,1400.0,,,22.0,,,Carrasco Al 700,7500
