Ambientes,Antigüedad,Baños,Bodegas,Cocheras,Departamentos por piso,Disposición,Dormitorios,Expensas,Orientación,Piso (unidad),Pisos,Superficie cubierta,Superficie total,Tipo de departamento,address,neighborhood,price
,80 años,3,,,,Frente,,9000,Este,,1,142,,,Peatonal M.t. De Alvear Al 900,San Nicolás - Capital Federal,30000
1,0 años,1,,1,,Contrafrente,,4500,,,1,38,45,,Malabia Al 1900,Palermo - Capital Federal,16500
1,,1,,,,Frente,,2800,,,10,37,43,Semi piso,Ramon Falcon 6200,Liniers - Capital Federal,9000
1,5 años,1,,,,Frente,,1700,Este,,,,38,,Bulnes Al 1200,Palermo - Capital Federal,15000
1,45 años,1,,,4,Interno,,,Sur,3,9,23,23,,Pasco 400,Balvanera - Capital Federal,8500
1,,1,,,,,,,,,,80,80,Loft,Tucuman Entre Lavalle Y Suipacha,Balvanera - Capital Federal,13000
,,1,,,,,,2400,,,,35,40,,Av. Triunvirato 3961,Villa Urquiza - Capital Federal,11000
1,,1,,,,Contrafrente,,2100,,,,60,60,Departamento,Tucumán 800,Monserrat - Capital Federal,13000
1,45 años,1,,,,Frente,,,,,,30,30,,Echenagucía 98,Villa Luro - Capital Federal,8000
1,,1,,,,Contrafrente,,2400,,,8,32,35,Departamento,Bolivia 2900,Villa Del Parque - Capital Federal,9000
1,0 años,1,,,5,Frente,,1500,,,5,33,36,Departamento,Castro Barros Al 1400,Boedo - Capital Federal,10500
1,0 años,1,,1,,Contrafrente,,4500,,,1,32,43,,Malabia Al 1900,Palermo - Capital Federal,16500
1,0 años,1,,,,Frente,,2500,Sur,,,40,40,,Marcelo T De Alvear Al 777 5 C,Retiro - Capital Federal,10000
1,40 años,1,,,6,Frente,,2000,,,10,34,34,Departamento,Rodriguez Peña Al 200,Barrio Norte - Capital Federal,9200
2,0 años,1,,,,,,1800,,,,,,,Aguero Al 1200,Barrio Norte - Capital Federal,14000
1,1 años,1,,,,Frente,,,Norte,6,9,41,41,,San Blas  2762,Santa Rita - Capital Federal,10000
1,30 años,1,,,5,,,2000,Oeste,7,11,35,35,Departamento,Bacacay  3800 7°,Floresta - Capital Federal,8900
1,,1,,,,Frente,,3000,,,10,38,41,Departamento,Balbin R. Av. 2600,Belgrano - Capital Federal,10000
1,,1,,,,Frente,,2400,,,7,36,46,Semi piso,Galvan 2800,Villa Urquiza - Capital Federal,10500
1,4 años,1,,,2,Frente,,,Norte,4,7,30,34,,Olleros 3500,Colegiales - Capital Federal,9700
1,6 años,1,,,4,Frente,,,Oeste,,8,35,30,,Carlos Gardel  3100,Almagro - Capital Federal,9500
1,,1,,,,,,,,,,30,33,Departamento,Olaya 1000- Alq Monoambiente,Caballito - Capital Federal,9000
1,,,,,,Frente,,2000,,,,20,20,Departamento,Agüero 2800,Barrio Norte - Capital Federal,8000
1,40 años,1,,,,Lateral,,1100,,,,30,30,,Migueletes Al 1600,Belgrano - Capital Federal,8500
1,5 años,1,,,,Lateral,,,,,,30,30,Monoambiente,Pedro Echague 1700,Parque Patricios - Capital Federal,7000
1,2 años,1,,,,Contrafrente,,900,Norte,6,,25,28,Departamento,Av. Rivadavia 10763,Liniers - Capital Federal,7000
1,50 años,1,,,,Interno,,1696,Este,,,21,21,,Araoz 2873 5ºc ( French - Juncal),Palermo - Capital Federal,7700
1,0 años,1,,,,Interno,,815,Sur,,,26,26,,Roosevelt Al 2900,Belgrano - Capital Federal,8500
3,50 años,1,,,,Frente,,5200,,,,80,,,Corrientes 4923 4°l,Villa Crespo - Capital Federal,14000
1,,1,,,,,,,,,,20,20,,Venezuela 3000,Balvanera - Capital Federal,7000
1,8 años,1,,,,Contrafrente,,1575,Oeste,,,28,30,,Thorne 1132 1ºc  ( Zuviría - Av. Asamblea),Parque Chacabuco - Capital Federal,7000
1,60 años,1,,,,Frente,,1200,Sur,2,15,194,194,Departamento,Hipolito Yrigoyen  1300,Congreso - Capital Federal,7500
1,,1,,,,Contrafrente,,1600,,,,26,30,Departamento,Gral. José Gervasio Art 2900,Villa Del Parque - Capital Federal,7900
1,50 años,1,,,,Contrafrente,,540,Norte,,,20,20,,Asuncion Al 2900,Agronomía - Capital Federal,7000
1,4 años,1,,,3,Contrafrente,,2500,,,7,36,39,Departamento,Carlos Antonio Lopez Al 3300,Villa Pueyrredón - Capital Federal,9000
1,2 años,1,,,,Frente,,2651,Norte,,,33,36,,Av. Independencia 2588 3ºb (alberti - Saavedra),San Cristóbal - Capital Federal,8500
1,2 años,1,,,,,,3600,Sur,,,34,34,,Pringles Al 400,Almagro - Capital Federal,11000
1,6 años,1,,,,,,,,,,26,26,Departamento,Ramon Freire Al 2600,Belgrano - Capital Federal,10500
1,5 años,1,,,,,,4000,Oeste,,,33,33,,Quartier San Telmo,San Telmo - Capital Federal,16000
1,0 años,1,,,,,,,,,,,18,,Paraná Al 100,San Nicolás - Capital Federal,8000
1,50 años,1,,,2,Lateral,,2500,,,6,25,25,Departamento,Junin Al 1300,Recoleta - Capital Federal,7900
1,25 años,1,,,3,Interno,,1280,,,8,22,22,Departamento,Colombres Al 1300,Boedo - Capital Federal,7000
1,2 años,1,,,,,,4000,,,,27,34,Departamento,Ciudad De La Paz  Al 1900,Belgrano - Capital Federal,11800
1,2 años,1,,,,Contrafrente,,3000,Sur,,,26,30,,Camarones Al 1454 9ºb ( Av. San Martín - Seguí),Paternal - Capital Federal,8800
,7 años,,,,,,,3400,,,,,,,Mono En Alquiler,Palermo Hollywood - Capital Federal,11000
,10 años,1,,,,Contrafrente,,1400,,,,22,,,Carrasco Al 700,Villa Luro - Capital Federal,7500
1,8 años,1,,,,Frente,,1600,Oeste,,,36,40,,Guatemala Al 5000,Palermo Soho - Capital Federal,12500
1,8 años,1,,,,Contrafrente,,7900,Oeste,,1,37,38,,Soldado De La Independencia Al 1100 (lacroze Y Olleros),Belgrano - Capital Federal,10000
1,0 años,1,,,,Contrafrente,,,,5,,28,33,Departamento,Av. Rivadavia 10772,Liniers - Capital Federal,8000
1,35 años,1,,,6,Lateral,,2200,,,10,23,23,Departamento,Ciudad De La Paz Al 300,Belgrano - Capital Federal,8000
1,10 años,1,,1,4,Contrafrente,,4300,,3,,30,33,Monoambiente,Cabrera 3451,Barrio Norte - Capital Federal,12000
,0 años,,,,,,,,,,,,,,Av Cordoba Y Junin,Recoleta - Capital Federal,5000
1,0 años,1,,,,Contrafrente,,3300,Norte,,1,34,37,,Santos Dumont Al 2400,Belgrano - Capital Federal,14000
1,4 años,1,,,,Contrafrente,,2200,,,,26,28,,Beiro Al 3300,Villa Del Parque - Capital Federal,9000
1,40 años,1,,,,,,1200,,,,,,,Yerbal Al 800,Caballito - Capital Federal,9000
1,4 años,1,,,,Contrafrente,,2000,Oeste,,,,32,,Av José María Moreno Al 800,Caballito - Capital Federal,11000
1,5 años,1,,,,Frente,,,,,,37,37,,Carlos Antonio Lopez Al 4300,Villa Devoto - Capital Federal,9500
1,40 años,1,,,,Lateral,,1400,,,,28,28,Monoambiente,Manuel R. Trelles 2199,Paternal - Capital Federal,8000
1,12 años,1,,1,,Frente,,4685,,,1,35,35,,Arce Entre Matienzo      Y Jorge Newbery,Palermo - Capital Federal,12000
1,0 años,1,,,,,,3500,,,,24,26,,Recoleta,Recoleta - Capital Federal,10000
1,40 años,1,,,,Interno,,2200,Oeste,,,35,35,,Alvarez Thomas Al 2700,Villa Urquiza - Capital Federal,8200
1,55 años,1,,,,Interno,,2231,Oeste,,8,27,27,,Cespedes Al 3500 Entre Giribone Y Av Alvarez Thomas,Colegiales - Capital Federal,8500
1,12 años,1,,,,Lateral,,5500,,,,28,32,Monoambiente,Olga Cossettini 1600,Puerto Madero - Capital Federal,16000
1,0 años,1,,,,Contrafrente,,,,,,,34,,Independencia Al 4000,Boedo - Capital Federal,9500
1,12 años,1,,,,Contrafrente,,2800,,,,32,35,,Luis  Maria  Campos  Al 400,Belgrano - Capital Federal,14000
1,2 años,1,,,,Frente,,3500,Oeste,2,6,38,38,Departamento,Argerich  3053,Villa Del Parque - Capital Federal,10000
1,,1,,,,Contrafrente,,,,,,40,43,Departamento,Miller 2300,Villa Urquiza - Capital Federal,12500
1,0 años,1,,,,,,2050,,,,38,,,Valle Al 1300,Caballito - Capital Federal,12000
1,35 años,1,,,9,Contrafrente,,2100,,,12,30,30,Departamento,Cabildo Al 4200,Núñez - Capital Federal,9200
1,10 años,1,,,3,Frente,,,,,1,20,24,Monoambiente,Simbron 3018,Villa Del Parque - Capital Federal,10500
,,1,,,,,,,,,,31,34,,Pedro Goyena 1606,Caballito - Capital Federal,10500
1,,1,,,,Frente,,1800,,10,,33,35,Departamento,Cosquin 10,Liniers - Capital Federal,7000
1,2 años,1,,,,Frente,,3700,Oeste,,,24,28,,Av. Corrientes Al 6300,Chacarita - Capital Federal,13500
